id,lot_area,bedrooms,baths,year_built,saleprice
1,1100,1,1,2010,132000
2,1200,1,1,2010,144000
3,1300,1,1,2010,156000
4,1400,1,1,2010,168000
5,1500,1,1,2010,180000
6,1600,1,1,2010,192000
7,1700,1,1,2010,204000
8,1800,1,1,2010,216000
9,1900,1,1,2010,228000
10,2000,1,1,2010,240000
11,2100,1,1,2010,252000
12,2200,1,1,2010,264000
13,2300,1,1,2010,276000
14,2400,1,1,2010,288000
15,2500,1,1,2010,300000
16,1100,2,1,2010,143000
17,1200,2,1,2010,156000
18,1300,2,1,2010,169000
19,1400,2,1,2010,182000
20,1500,2,1,2010,195000
21,1600,2,1,2010,208000
22,1700,2,1,2010,221000
23,1800,2,1,2010,234000
24,1900,2,1,2010,247000
25,2000,2,1,2010,260000
26,2100,2,1,2010,273000
27,2200,2,1,2010,286000
28,2300,2,1,2010,299000
29,2400,2,1,2010,312000
30,2500,2,1,2010,325000
31,1100,2,2,2010,154000
32,1200,2,2,2010,168000
33,1300,2,2,2010,182000
34,1400,2,2,2010,196000
35,1500,2,2,2010,210000
36,1600,2,2,2010,224000
37,1700,2,2,2010,238000
38,1800,2,2,2010,252000
39,1900,2,2,2010,266000
40,2000,2,2,2010,280000
41,2100,2,2,2010,294000
42,2200,2,2,2010,308000
43,2300,2,2,2010,322000
44,2400,2,2,2010,336000
45,2500,2,2,2010,350000
46,1100,3,1,2010,165000
47,1200,3,1,2010,180000
48,1300,3,1,2010,195000
49,1400,3,1,2010,210000
50,1500,3,1,2010,225000
51,1600,3,1,2010,240000
52,1700,3,1,2010,255000
53,1800,3,1,2010,270000
54,1900,3,1,2010,285000
55,2000,3,1,2010,300000
56,2100,3,1,2010,315000
57,2200,3,1,2010,330000
58,2300,3,1,2010,345000
59,2400,3,1,2010,360000
60,2500,3,1,2010,375000
61,1100,3,2,2010,176000
62,1200,3,2,2010,192000
63,1300,3,2,2010,208000
64,1400,3,2,2010,224000
65,1500,3,2,2010,240000
66,1600,3,2,2010,256000
67,1700,3,2,2010,272000
68,1800,3,2,2010,288000
69,1900,3,2,2010,304000
70,2000,3,2,2010,320000
71,2100,3,2,2010,336000
72,2200,3,2,2010,352000
73,2300,3,2,2010,368000
74,2400,3,2,2010,384000
75,2500,3,2,2010,400000
76,1100,3,3,2010,187000
77,1200,3,3,2010,204000
78,1300,3,3,2010,221000
79,1400,3,3,2010,238000
80,1500,3,3,2010,255000
81,1600,3,3,2010,272000
82,1700,3,3,2010,289000
83,1800,3,3,2010,306000
84,1900,3,3,2010,323000
85,2000,3,3,2010,340000
86,2100,3,3,2010,357000
87,2200,3,3,2010,374000
88,2300,3,3,2010,391000
89,2400,3,3,2010,408000
90,2500,3,3,2010,425000
91,1100,1,1,2012,143000
92,1200,1,1,2012,156000
93,1300,1,1,2012,169000
